id	name	abstraction	status	summary	parents
CWE-1004	Sensitive Cookie Without 'HttpOnly' Flag	Variant		A cookie carrying sensitive data is readable by script in the browser.	
CWE-118	Incorrect Access of Indexable Resource ('Range Error')	Class		The product does not restrict an operation to the bounds of a resource.	CWE-664
CWE-1188	Initialization of a Resource with an Insecure Default	Base		A resource is initialized with a default that is not safe.	
CWE-119	Improper Restriction of Operations within the Bounds of a Memory Buffer	Class		The product reads or writes outside the bounds of an allocated buffer.	CWE-118
CWE-120	Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')	Base		Input is copied into a buffer without checking that it fits.	CWE-119
CWE-121	Stack-based Buffer Overflow	Variant		A buffer overflow reaches memory on the call stack.	CWE-787
CWE-122	Heap-based Buffer Overflow	Variant		A buffer overflow reaches memory on the heap.	CWE-787
CWE-1236	Improper Neutralization of Formula Elements in a CSV File	Base		A field written into a CSV file is interpreted as a formula by a spreadsheet.	CWE-74
CWE-125	Out-of-bounds Read	Base		The product reads memory before the start or past the end of a buffer.	CWE-119
CWE-1321	Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution')	Base		An actor writes an attribute on a prototype, changing every object that inherits it.	CWE-915
CWE-190	Integer Overflow or Wraparound	Base		A calculation produces a value too large for its type and wraps around.	CWE-682
CWE-191	Integer Underflow (Wrap or Wraparound)	Base		A calculation produces a value below the minimum for its type and wraps around.	CWE-682
CWE-20	Improper Input Validation	Class		The product does not validate input, or validates it incorrectly.	
CWE-200	Exposure of Sensitive Information to an Unauthorized Actor	Class		The product discloses information to an actor not explicitly allowed to have it.	
CWE-209	Generation of Error Message Containing Sensitive Information	Base		An error message discloses information useful to an attacker.	CWE-200
CWE-22	Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')	Base		A pathname built from input reaches a location outside the intended directory.	
CWE-269	Improper Privilege Management	Class		The product assigns, keeps or drops privileges incorrectly.	
CWE-284	Improper Access Control	Pillar		The product does not restrict access to a resource from an unauthorized actor.	
CWE-285	Improper Authorization	Class		The product does not check whether an actor may perform the action requested.	CWE-284
CWE-287	Improper Authentication	Class		The product does not prove, or incorrectly proves, that an actor is who they claim.	
CWE-295	Improper Certificate Validation	Base		The product does not validate a certificate, or validates it incorrectly.	
CWE-306	Missing Authentication for Critical Function	Base		A function with serious consequences requires no authentication.	CWE-287
CWE-311	Missing Encryption of Sensitive Data	Class		Sensitive data is stored or transmitted with no encryption.	
CWE-312	Cleartext Storage of Sensitive Information	Base		Sensitive data is stored where it can be read without decryption.	CWE-311
