id	name	kind	tactics	parent	platforms	summary	status	replaced_by
T1001	Data Obfuscation	technique	TA0011		ESXi,Linux,macOS,Windows	Adversaries may obfuscate command and control traffic to make it more difficult to detect.	active	
T1001.001	Junk Data	subtechnique	TA0011	T1001	ESXi,Linux,macOS,Windows	Adversaries may add junk data to protocols used for command and control to make detection more difficult.	active	
T1001.002	Steganography	subtechnique	TA0011	T1001	Linux,macOS,Windows,ESXi	Adversaries may use steganographic techniques to hide command and control traffic to make detection efforts more difficult.	active	
T1001.003	Protocol or Service Impersonation	subtechnique	TA0011	T1001	ESXi,Linux,macOS,Windows	Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts.	active	
T1002	Data Compressed	technique	TA0010		Linux,Windows,macOS	An adversary may compress data (e.g., sensitive documents) that is collected prior to exfiltration in order to make it portable and minimize the amount of data sent over the network.	revoked	T1560
T1003	OS Credential Dumping	technique	TA0006		Linux,macOS,Windows	Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password.	active	
T1003.001	LSASS Memory	subtechnique	TA0006	T1003	Windows	Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS).	active	
T1003.002	Security Account Manager	subtechnique	TA0006	T1003	Windows	Adversaries may attempt to extract credential material from the Security Account Manager (SAM) database either through in-memory techniques or through the Windows Registry where the SAM database is stored.	active	
T1003.003	NTDS	subtechnique	TA0006	T1003	Windows	Adversaries may attempt to access or create a copy of the Active Directory domain database in order to steal credential information, as well as obtain other information about domain members such as devices, users, and access rights.	active	
T1003.004	LSA Secrets	subtechnique	TA0006	T1003	Windows	Adversaries with SYSTEM access to a host may attempt to access Local Security Authority (LSA) secrets, which can contain a variety of different credential materials, such as credentials for service accounts.	active	
T1003.005	Cached Domain Credentials	subtechnique	TA0006	T1003	Windows,Linux	Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable.	active	
T1003.006	DCSync	subtechnique	TA0006	T1003	Windows	Adversaries may attempt to access credentials and other sensitive information by abusing a Windows Domain Controller's application programming interface (API) to simulate the replication process from a remote domain controller using a technique called DCSync.	active	
T1003.007	Proc Filesystem	subtechnique	TA0006	T1003	Linux	Adversaries may gather credentials from the proc filesystem or /proc.	active	
T1003.008	/etc/passwd and /etc/shadow	subtechnique	TA0006	T1003	Linux	Adversaries may attempt to dump the contents of /etc/passwd and /etc/shadow to enable offline password cracking.	active	
T1004	Winlogon Helper DLL	technique	TA0003		Windows	Winlogon.exe is a Windows component responsible for actions at logon/logoff as well as the secure attention sequence (SAS) triggered by Ctrl-Alt-Delete.	revoked	T1547.004
T1005	Data from Local System	technique	TA0009		ESXi,Linux,macOS,Network Devices,Windows	Adversaries may search local system sources, such as file systems, configuration files, local databases, virtual machine files, or process memory, to find files of interest and sensitive data prior to Exfiltration.	active	
T1006	Direct Volume Access	technique	TA0005		Network Devices,Windows	Adversaries may directly access a volume to bypass file access controls and file system monitoring.	active	
T1007	System Service Discovery	technique	TA0007		Linux,macOS,Windows	Adversaries may try to gather information about registered local system services.	active	
T1008	Fallback Channels	technique	TA0011		ESXi,Linux,macOS,Windows	Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.	active	
T1009	Binary Padding	technique	TA0005		Linux,macOS,Windows	Adversaries can use binary padding to add junk data and change the on-disk representation of malware without affecting the functionality or behavior of the binary.	revoked	T1027.001
T1010	Application Window Discovery	technique	TA0007		Linux,macOS,Windows	Adversaries may attempt to get a listing of open application windows.	active	
T1011	Exfiltration Over Other Network Medium	technique	TA0010		Linux,macOS,Windows	Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel.	active	
T1011.001	Exfiltration Over Bluetooth	subtechnique	TA0010	T1011	Linux,macOS,Windows	Adversaries may attempt to exfiltrate data over Bluetooth rather than the command and control channel.	active	
T1012	Query Registry	technique	TA0007		Windows	Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software.	active	
T1013	Port Monitors	technique	TA0003,TA0004		Windows	A port monitor can be set through the API call to set a DLL to be loaded at startup.	revoked	T1547.010
T1014	Rootkit	technique	TA0005		Linux,macOS,Windows	Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components.	active	
T1015	Accessibility Features	technique	TA0003,TA0004		Windows	Windows contains accessibility features that may be launched with a key combination before a user has logged in (for example, when the user is on the Windows logon screen).	revoked	T1546.008
T1016	System Network Configuration Discovery	technique	TA0007		ESXi,Linux,macOS,Network Devices,Windows	Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of systems they access or through information discovery of remote systems.	active	
T1016.001	Internet Connection Discovery	subtechnique	TA0007	T1016	Windows,Linux,macOS,ESXi	Adversaries may check for Internet connectivity on compromised systems.	active	
T1016.002	Wi-Fi Discovery	subtechnique	TA0007	T1016	Linux,Windows,macOS	Adversaries may search for information about Wi-Fi networks, such as network names and passwords, on compromised systems.	active	
T1017	Application Deployment Software	technique	TA0008		Linux,macOS,Windows	Adversaries may deploy malicious software to systems within a network using application deployment systems employed by enterprise administrators.	revoked	T1072
T1018	Remote System Discovery	technique	TA0007		ESXi,Linux,macOS,Network Devices,Windows	Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system.	active	
T1019	System Firmware	technique	TA0003		Windows	The BIOS (Basic Input/Output System) and The Unified Extensible Firmware Interface (UEFI) or Extensible Firmware Interface (EFI) are examples of system firmware that operate as the software interface between the operating system and hardware of a computer.	revoked	T1542.001
T1020	Automated Exfiltration	technique	TA0010		Linux,macOS,Network Devices,Windows	Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.	active	
T1020.001	Traffic Duplication	subtechnique	TA0010	T1020	Network Devices,IaaS	Adversaries may leverage traffic mirroring in order to automate data exfiltration over compromised infrastructure.	active	
T1021	Remote Services	technique	TA0008		Linux,macOS,Windows,IaaS,ESXi	Adversaries may use Valid Accounts to log into a service that accepts remote connections, such as telnet, SSH, and VNC.	active	
T1021.001	Remote Desktop Protocol	subtechnique	TA0008	T1021	Windows	Adversaries may use Valid Accounts to log into a computer using the Remote Desktop Protocol (RDP).	active	
T1021.002	SMB/Windows Admin Shares	subtechnique	TA0008	T1021	Windows	Adversaries may use Valid Accounts to interact with a remote network share using Server Message Block (SMB).	active	
T1021.003	Distributed Component Object Model	subtechnique	TA0008	T1021	Windows	Adversaries may use Valid Accounts to interact with remote machines by taking advantage of Distributed Component Object Model (DCOM).	active	
T1021.004	SSH	subtechnique	TA0008	T1021	ESXi,Linux,macOS	Adversaries may use Valid Accounts to log into remote machines using Secure Shell (SSH).	active	
T1021.005	VNC	subtechnique	TA0008	T1021	Linux,Windows,macOS	Adversaries may use Valid Accounts to remotely control machines using Virtual Network Computing (VNC).	active	
T1021.006	Windows Remote Management	subtechnique	TA0008	T1021	Windows	Adversaries may use Valid Accounts to interact with remote systems using Windows Remote Management (WinRM).	active	
T1021.007	Cloud Services	subtechnique	TA0008	T1021	IaaS,Identity Provider,Office Suite,SaaS	Adversaries may log into accessible cloud services within a compromised environment using Valid Accounts that are synchronized with or federated to on-premises user identities.	active	
T1021.008	Direct Cloud VM Connections	subtechnique	TA0008	T1021	IaaS	Adversaries may leverage Valid Accounts to log directly into accessible cloud hosted compute infrastructure through cloud native methods.	active	
T1022	Data Encrypted	technique	TA0010		Linux,macOS,Windows	Data is encrypted before being exfiltrated in order to hide the information that is being exfiltrated from detection or to make the exfiltration less conspicuous upon inspection by a defender.	revoked	T1560
T1023	Shortcut Modification	technique	TA0003		Windows	Shortcuts or symbolic links are ways of referencing other files or programs that will be opened or executed when the shortcut is clicked or executed by a system startup process.	revoked	T1547.009
T1024	Custom Cryptographic Protocol	technique	TA0011		Linux,macOS,Windows	Adversaries may use a custom cryptographic protocol or algorithm to hide command and control traffic.	revoked	T1573
T1025	Data from Removable Media	technique	TA0009		Linux,macOS,Windows	Adversaries may search connected removable media on computers they have compromised to find files of interest.	active	
T1026	Multiband Communication	technique	TA0011		Linux,macOS,Windows	**This technique has been deprecated and should no longer be used.** Some adversaries may split communications between different protocols.	deprecated	
T1027	Obfuscated Files or Information	technique	TA0005		ESXi,Linux,macOS,Network Devices,Windows	Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit.	active	
T1027.001	Binary Padding	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may use binary padding to add junk data and change the on-disk representation of malware.	active	
T1027.002	Software Packing	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may perform software packing or virtual machine software protection to conceal their code.	active	
T1027.003	Steganography	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may use steganography techniques in order to prevent the detection of hidden information.	active	
T1027.004	Compile After Delivery	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may attempt to make payloads difficult to discover and analyze by delivering files to victims as uncompiled code.	active	
T1027.005	Indicator Removal from Tools	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may remove indicators from tools if they believe their malicious tool was detected, quarantined, or otherwise curtailed.	active	
T1027.006	HTML Smuggling	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign HTML files.	active	
T1027.007	Dynamic API Resolution	subtechnique	TA0005	T1027	Windows	Adversaries may obfuscate then dynamically resolve API functions called by their malware in order to conceal malicious functionalities and impair defensive analysis.	active	
T1027.008	Stripped Payloads	subtechnique	TA0005	T1027	Linux,macOS,Network Devices,Windows	Adversaries may attempt to make a payload difficult to analyze by removing symbols, strings, and other human readable information.	active	
T1027.009	Embedded Payloads	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may embed payloads within other files to conceal malicious content from defenses.	active	
T1027.010	Command Obfuscation	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may obfuscate content during command execution to impede detection.	active	
T1027.011	Fileless Storage	subtechnique	TA0005	T1027	Linux,Windows	Adversaries may store data in "fileless" formats to conceal malicious activity from defenses.	active	
T1027.012	LNK Icon Smuggling	subtechnique	TA0005	T1027	Windows	Adversaries may smuggle commands to download malicious payloads past content filters by hiding them within otherwise seemingly benign windows shortcut files.	active	
T1027.013	Encrypted/Encoded File	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may encrypt or encode files to obfuscate strings, bytes, and other specific patterns to impede detection.	active	
T1027.014	Polymorphic Code	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may utilize polymorphic code (also known as metamorphic or mutating code) to evade detection.	active	
T1027.015	Compression	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may use compression to obfuscate their payloads or files.	active	
T1027.016	Junk Code Insertion	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may use junk code / dead code to obfuscate a malware's functionality.	active	
T1027.017	SVG Smuggling	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign SVG files.	active	
T1027.018	Invisible Unicode	subtechnique	TA0005	T1027	Linux,macOS,Windows	Adversaries may abuse invisible or non-printing Unicode characters to conceal malicious content within files, scripts, or text.	active	
T1028	Windows Remote Management	technique	TA0002,TA0008		Windows	Windows Remote Management (WinRM) is the name of both a Windows service and a protocol that allows a user to interact with a remote system (e.g., run an executable, modify the Registry, modify services).	revoked	T1021.006
T1029	Scheduled Transfer	technique	TA0010		Linux,macOS,Windows	Adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals.	active	
T1030	Data Transfer Size Limits	technique	TA0010		Linux,macOS,Windows,ESXi	An adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds.	active	
T1031	Modify Existing Service	technique	TA0003		Windows	Windows service configuration information, including the file path to the service's executable or recovery programs/commands, is stored in the Registry.	revoked	T1543.003
T1032	Standard Cryptographic Protocol	technique	TA0011		Linux,macOS,Windows	Adversaries may explicitly employ a known encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol.	revoked	T1573
T1033	System Owner/User Discovery	technique	TA0007		Linux,macOS,Network Devices,Windows	Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system.	active	
T1034	Path Interception	technique	TA0003,TA0004		Windows	**This technique has been deprecated.	deprecated	
T1035	Service Execution	technique	TA0002		Windows	Adversaries may execute a binary, command, or script via a method that interacts with Windows services, such as the Service Control Manager.	revoked	T1569.002
T1036	Masquerading	technique	TA0005		Containers,ESXi,Linux,macOS,Windows	Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools.	active	
T1036.001	Invalid Code Signature	subtechnique	TA0005	T1036	macOS,Windows	Adversaries may attempt to mimic features of valid code signatures to increase the chance of deceiving a user, analyst, or tool.	active	
T1036.002	Right-to-Left Override	subtechnique	TA0005	T1036	Linux,macOS,Windows	Adversaries may abuse the right-to-left override (RTLO or RLO) character (U+202E) to disguise a string and/or file name to make it appear benign.	active	
T1036.003	Rename Legitimate Utilities	subtechnique	TA0005	T1036	Linux,macOS,Windows	Adversaries may rename legitimate / system utilities to try to evade security mechanisms concerning the usage of those utilities.	active	
